Stockcode,Method,Fitnessvalue_withoutGA,Fitnessvalue_withGA,Picture_withGA,GA_picture
50,Multiple Regression,0.5524,0.5878,img/Model_picture/Multiple Regression/0050_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/0050_MultipleRegression_GA.png
50,Logistic Regression,0.587,0.667,img/Model_picture/Logistic Regression/0050_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/0050_Logistic_GA.png
50,Random Forest,0.6017,0.6428,img/Model_picture/Random Forest/0050_RandomForest_tree.png,img/Model_picture/Random Forest/0050_RandomForest_GA.png
50,LSTM,0.311,0,img/Model_picture/LSTM/0050.png,NA
51,Multiple Regression,0.5856,0.5865,img/Model_picture/Multiple Regression/0051_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/0051_MultipleRegression_GA.png
51,Logistic Regression,0.572,0.603,img/Model_picture/Logistic Regression/0051_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/0051_Logistic_GA.png
51,Random Forest,0.5556,0.6579,img/Model_picture/Random Forest/0051_RandomForest_tree.png,img/Model_picture/Random Forest/0051_RandomForest_GA.png
51,LSTM,0.149,0,img/Model_picture/LSTM/0051.png,NA
52,Multiple Regression,0.5627,0.5899,img/Model_picture/Multiple Regression/0052_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/0052_MultipleRegression_GA.png
52,Logistic Regression,0.5396,0.5873,img/Model_picture/Logistic Regression/0052_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/0052_Logistic_GA.png
52,Random Forest,0.5555,0.6191,img/Model_picture/Random Forest/0052_RandomForest_tree.png,img/Model_picture/Random Forest/0052_RandomForest_GA.png
52,LSTM,0.8077,0,img/Model_picture/LSTM/0052.png,NA
53,Multiple Regression,0.4958,0.5621,img/Model_picture/Multiple Regression/0053_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/0053_MultipleRegression_GA.png
53,Logistic Regression,0.5358,0.6191,img/Model_picture/Logistic Regression/0053_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/0053_Logistic_GA.png
53,Random Forest,0.5924,0.6507,img/Model_picture/Random Forest/0053_RandomForest_tree.png,img/Model_picture/Random Forest/0053_RandomForest_GA.png
53,LSTM,0.092,0,img/Model_picture/LSTM/0053.png,NA
54,Multiple Regression,0.4892,0.5795,img/Model_picture/Multiple Regression/0054_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/0054_MultipleRegression_GA.png
54,Logistic Regression,0.5498,0.5793,img/Model_picture/Logistic Regression/0054_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/0054_Logistic_GA.png
54,Random Forest,0.5873,0.6269,img/Model_picture/Random Forest/0054_RandomForest_tree.png,img/Model_picture/Random Forest/0054_RandomForest_GA.png
54,LSTM,0.4713,0,img/Model_picture/LSTM/0054.png,NA
55,Multiple Regression,0.5123,0.5905,img/Model_picture/Multiple Regression/0055_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/0055_MultipleRegression_GA.png
55,Logistic Regression,0.5781,0.6269,img/Model_picture/Logistic Regression/0055_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/0055_Logistic_GA.png
